
2025/05/15 (14:55:57) | ===> btop++ v.1.4.0
2025/05/15 (14:55:57) | INFO: Logger set to DEBUG
2025/05/15 (14:55:57) | DEBUG: Using locale en_US.UTF-8
2025/05/15 (14:55:57) | INFO: Running on /dev/pts/3
2025/05/15 (14:55:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/15 (14:55:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/15 (14:55:57) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/15 (14:55:57) | DEBUG: Shared::init() : Initialized.

2025/05/15 (14:58:45) | ===> btop++ v.1.4.0
2025/05/15 (14:58:45) | INFO: Logger set to DEBUG
2025/05/15 (14:58:45) | DEBUG: Using locale en_US.UTF-8
2025/05/15 (14:58:45) | INFO: Running on /dev/pts/3
2025/05/15 (14:58:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/15 (14:58:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/05/15 (14:58:45) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2025/05/15 (14:58:45) | DEBUG: Shared::init() : Initialized.
2025/05/15 (16:24:14) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2025/05/15 (16:24:14) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2025/05/15 (16:24:15) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2025/05/15 (16:24:15) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2025/05/15 (16:24:16) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2025/05/15 (16:24:16) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/05/15 (16:24:16) | DEBUG: Loading theme file: /usr/share/btop/themes/phoenix-night.theme
2025/05/15 (16:24:17) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2025/05/15 (16:24:17) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2025/05/15 (16:24:17) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/05/15 (16:24:17) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2025/05/15 (16:24:18) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2025/05/15 (16:24:18) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2025/05/15 (16:24:19) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2025/05/15 (16:24:19) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2025/05/15 (16:24:20) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2025/05/15 (16:24:20) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_light.theme
2025/05/15 (16:24:20) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/05/15 (16:24:22) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/05/15 (16:24:22) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2025/05/15 (16:24:23) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2025/05/15 (16:24:23) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2025/05/15 (16:24:24) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2025/05/15 (16:24:24) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2025/05/15 (16:24:25) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2025/05/15 (16:24:25) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2025/05/15 (16:24:26) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/05/15 (16:24:26) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2025/05/15 (16:24:26) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/05/15 (16:24:27) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/05/15 (16:24:29) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/05/15 (16:24:30) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/05/15 (16:24:32) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/05/15 (16:24:33) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme

2025/05/19 (13:53:04) | ===> btop++ v.1.4.0
2025/05/19 (13:53:04) | INFO: Logger set to DEBUG
2025/05/19 (13:53:04) | DEBUG: Using locale en_US.UTF-8
2025/05/19 (13:53:04) | INFO: Running on /dev/pts/5
2025/05/19 (13:53:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/05/19 (13:53:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
